created_at,text,screen_name,retweets,favorites,negative sentiment,positive sentiment,#words
2023-01-11 11:42:12+00:00,"RT @0xJoint: With @FairmintCo tech, We are very excited to announce the launch of our Continuous Securities Offering. We invite members of…",warner526,1048,0,0.6697,0.6697,11
2023-01-11 11:42:12+00:00,"RT @azlanhuzeifa: Ada tak anyone might be interested to invest or buy a Dental Clinic, RM500k (negotiable)?

Fully functioning dental clini…",finaroar,184,0,0.4019,0.4019,15
2023-01-11 11:42:10+00:00,RT @narendramodi: Come and invest in Madhya Pradesh! My remarks at the Global Investors' Summit being held in Indore. https://t.co/BLbKGUoZ…,tsrawatbjp,2283,0,0.0,0.0,12
2023-01-11 11:42:00+00:00,RT @Leo4AzHouse: Gov. KATIE HOBBS in her State of State stated that she would like to invest $40 million to help pay for illegal immigrants…,inmihiegofides,841,0,0.0516,0.0516,14
2023-01-11 11:41:57+00:00,RT @narendramodi: Come and invest in Madhya Pradesh! My remarks at the Global Investors' Summit being held in Indore. https://t.co/BLbKGUoZ…,MrigankaBharal8,2283,0,0.0,0.0,12
2023-01-11 11:41:56+00:00,"RT @narendramodi: At around 11:10 AM today, I will be sharing my remarks at the Invest Madhya Pradesh - Global Investors Summit 2023 via vi…",MrigankaBharal8,2217,0,0.4215,0.4215,13
2023-01-11 11:41:53+00:00,"RT @PMOIndia: Come, invest in India! https://t.co/QjSKrOf8Z8",gopitweet,380,0,0.0,0.0,5
2023-01-11 11:41:49+00:00,"RT @narendramodi: At around 11:10 AM today, I will be sharing my remarks at the Invest Madhya Pradesh - Global Investors Summit 2023 via vi…",bjpsiddharthrai,2217,0,0.4215,0.4215,13
2023-01-11 11:41:48+00:00,RT @narendramodi: Come and invest in Madhya Pradesh! My remarks at the Global Investors' Summit being held in Indore. https://t.co/BLbKGUoZ…,arvind_joshi,2283,0,0.0,0.0,12
2023-01-11 11:41:45+00:00,"RT @narendramodi: At around 11:10 AM today, I will be sharing my remarks at the Invest Madhya Pradesh - Global Investors Summit 2023 via vi…",arvind_joshi,2217,0,0.4215,0.4215,13
